title,console,date,year,month,day
Arcade Archives 10-Yard Fight,0,2018-05-02,2018,5,2
Worms Battlegrounds,1,2019-10-17,2019,10,17
Dragonfly Chronicles,0,2018-08-10,2018,8,10
House Flipper,1,2020-02-25,2020,2,25
Project LUX,0,2017-03-30,2017,3,30
Airport Simulator 2019,0,2018-08-15,2018,8,15
Dream Angling,0,2018-04-27,2018,4,27
Peaky Blinders: Mastermind,1,2020-08-20,2020,8,20
The Mooseman,1,2018-07-18,2018,7,18
The Door,0,2016-09-12,2016,9,12
Sniper Ghost Warrior Contracts 2,1,2021-06-04,2021,6,4
Fallout Shelter,0,2015-06-15,2015,6,15
OLIJA,0,2021-01-28,2021,1,28
John Wick Hex,1,2020-12-04,2020,12,4
Shantae and the Seven Sirens,0,2020-05-28,2020,5,28
BugsBox VR,0,2020-11-12,2020,11,12
Freedom Finger,0,2020-03-24,2020,3,24
Minit,1,2018-04-03,2018,4,3
Just Cause 4,1,2018-12-04,2018,12,4
Preta: Vendetta Rising,0,2018-03-29,2018,3,29
NHL 21 Great Eight Edition,1,2020-10-16,2020,10,16
NieR: Automata Game of the YoRHa Edition,0,2019-02-26,2019,2,26
Transistor,0,2014-05-21,2014,5,21
Perfect Angle,0,2018-02-28,2018,2,28
Call of Duty®: WWII,1,2017-11-03,2017,11,3
ACA NEOGEO Money Puzzle Exchanger,1,2018-06-28,2018,6,28
Tiles,0,2017-03-20,2017,3,20
Unearthing Mars2,0,2016-10-21,2016,10,21
Razed,1,2018-10-15,2018,10,15
The First Tree,1,2018-11-30,2018,11,30
ATOMINE,0,2018-06-26,2018,6,26
JYDGE,0,2017-10-03,2017,10,3
Chronus Arc,0,2019-05-22,2019,5,22
Control,1,2019-08-27,2019,8,27
EA Sports UFC3,1,2018-02-02,2018,2,2
Bloodstained:  Ritual of the Night,1,2019-06-18,2019,6,18
Subnautica,1,2021-05-14,2021,5,14
The Wizards,0,2017-07-28,2017,7,28
Constructor Plus,0,2019-09-25,2019,9,25
Volume,0,2015-08-18,2015,8,18
Kerbal Space Program,0,2018-01-16,2018,1,16
Darksiders Genesis,1,2020-02-14,2020,2,14
Thumper,0,2016-10-13,2016,10,13
X-Morph: Defense,1,2017-08-30,2017,8,30
Moonfall Ultimate,0,2018-09-05,2018,9,5
Supermarket Shriek,0,2020-10-23,2020,10,23
Rogue Aces,0,2018-04-12,2018,4,12
ACA NEOGEO MAGICAL DROP III,1,2018-06-06,2018,6,6
PIPE,0,2018-10-16,2018,10,16
Skully,1,2020-08-04,2020,8,4
Dead Cells,0,2018-08-07,2018,8,7
Yakuza: Like a Dragon,1,2020-11-10,2020,11,10
Blazing Chrome,0,2019-07-11,2019,7,11
Velocity 2X,0,2015-08-19,2015,8,19
Super GunWorld 2,0,2017-02-07,2017,2,7
RollerCoaster Legends,0,2017-12-21,2017,12,21
Minotaur Arcade Vol. 1,0,2014-12-29,2014,12,29
Asdivine Dios,0,2021-05-12,2021,5,12
Zeus Quest Remastered,0,2016-06-19,2016,6,19
Dragon's Lair Trilogy,0,2019-05-17,2019,5,17
WWE 2K18,1,2017-10-17,2017,10,17
The LEGO Movie 2 Videogame,1,2019-02-26,2019,2,26
Cruz Brothers,0,2020-02-05,2020,2,5
NHL 21,1,2020-10-16,2020,10,16
Sonic Forces,1,2017-11-07,2017,11,7
Catherine: Full Body,0,2019-09-03,2019,9,3
Worms Rumble,0,2021-06-23,2021,6,23
Happy Drummer VR,0,2017-12-21,2017,12,21
Absolute Drift: Zen Edition,0,2017-08-24,2017,8,24
WWE 2K19,1,2018-10-09,2018,10,9
Fernz Gate,0,2018-08-15,2018,8,15
MY HERO ONE'S JUSTICE,1,2020-04-17,2020,4,17
The Gardens Between,0,2018-09-20,2018,9,20
Five Nights at Freddy's: Help Wanted,0,2020-10-30,2020,10,30
Gravel,1,2018-02-27,2018,2,27
Butter & Friends: Babysitter Sim,0,2019-12-25,2019,12,25
Darksiders 3,1,2018-11-27,2018,11,27
This Is the Police 2,1,2018-09-25,2018,9,25
Etherborn,0,2019-07-18,2019,7,18
Oh My Godheads,0,2017-12-05,2017,12,5
Space Channel 5 VR Kinda Funky News Flash!,0,2020-02-25,2020,2,25
SOULCALIBUR VI,1,2018-10-19,2018,10,19
No Man's Sky: Beyond,0,2018-07-24,2018,7,24
Ghost Giant,0,2019-04-16,2019,4,16
Race with Ryan Road Trip Deluxe Edition,1,2020-10-16,2020,10,16
Super Neptunia RPG,0,2019-06-28,2019,6,28
The Sims™ 4 Seasons,1,2018-11-13,2018,11,13
Masters of Anima,1,2018-04-10,2018,4,10
ACA NEOGEO GHOST PILOTS,1,2018-04-26,2018,4,26
Manifest 99,0,2017-09-12,2017,9,12
Iconoclasts,0,2020-01-23,2020,1,23
Tempest 4000,1,2018-07-17,2018,7,17
Frost ,0,2016-07-05,2016,7,5
Batman: The Enemy Within - Episode 5: Same Stitch,0,2018-03-27,2018,3,27
Hyper Jam,0,2019-02-12,2019,2,12
ACA NEOGEO SUPER SIDEKICKS 2,1,2018-05-10,2018,5,10
Mecho Tales,0,2017-09-19,2017,9,19
Ben 10: Power Trip,1,2020-10-09,2020,10,9
Tony Stewart's All-American Racing / Tony Stewart's Sprint Car Racing (Bundle),1,2020-09-04,2020,9,4
Mega Party: A Tootuff Adventure,1,2019-11-21,2019,11,21
CROSSING SOULS,0,2018-02-13,2018,2,13
Space Hulk: Tactics,1,2018-10-09,2018,10,9
Riverbond,0,2019-06-09,2019,6,9
City of Brass,1,2018-05-04,2018,5,4
Rocketbirds 2 Evolution,0,2016-04-26,2016,4,26
Survive! Mr.CUBE (US Ver.),0,2018-04-26,2018,4,26
Double Dragon 4,0,2020-06-11,2020,6,11
Feral Fury ,1,2016-10-05,2016,10,5
Mighty Switch Force! Collection,1,2019-07-25,2019,7,25
The 25th Ward: The Silver Case,0,2018-03-26,2018,3,26
NOBUNAGA'S AMBITION: Taishi,0,2017-11-30,2017,11,30
Pizza Titan Ultra,0,2018-09-26,2018,9,26
STAR WARS™ Jedi Knight II - Jedi Outcast™,0,2019-09-24,2019,9,24
Flynn and Freckles,0,2018-05-16,2018,5,16
Close to the Sun,1,2019-10-29,2019,10,29
Sneaky Bears,0,2017-08-29,2017,8,29
Little Town Hero,0,2020-06-22,2020,6,22
EVERSPACE™ - Encounters,0,2018-05-11,2018,5,11
Shadowgate,0,2014-08-20,2014,8,20
3D MiniGolf,0,2015-05-29,2015,5,29
Street Power Game,1,2020-08-25,2020,8,25
Super Bomberman R,1,2018-06-12,2018,6,12
Kill The Bad Guy,0,2017-01-31,2017,1,31
Gotcha Racing 2nd,0,2018-07-19,2018,7,19
Blair Witch,1,2019-12-03,2019,12,3
MX vs ATV All Out 2020 Pro Nationals Edition,1,2018-03-23,2018,3,23
Arcade Archives ELEVATOR ACTION,0,2017-11-23,2017,11,23
Power Rangers: Battle for the Grid - Collector's Edition,1,2019-03-26,2019,3,26
Plants vs. Zombies: La Batalla Por Neighborville,1,2019-10-18,2019,10,18
Tennis World Tour 2,1,2020-09-22,2020,9,22
Frantics,0,2018-03-07,2018,3,7
Taiko no Tatsujin: Drum Session!,0,2018-11-02,2018,11,2
Override 2: Super Mech League – Ultraman Deluxe Edition,1,2020-12-22,2020,12,22
Absolver,1,2019-01-07,2019,1,7
World War Z,1,2020-05-05,2020,5,5
Valthirian Arc: Hero School Story,0,2018-09-28,2018,9,28
Marvel's Iron Man VR,0,2020-07-03,2020,7,3
The Escapists,1,2019-10-17,2019,10,17
American Ninja Warrior: Challenge ,1,2019-03-19,2019,3,19
Pipe Push Paradise ,0,2018-01-19,2018,1,19
Nioh 2,0,2021-02-05,2021,2,5
The Inner World,1,2017-03-31,2017,3,31
BoxVR,0,2017-06-13,2017,6,13
The Elder Scrolls Online: Summerset,1,2018-06-05,2018,6,5
Volgarr The Viking,0,2014-10-31,2014,10,31
Black Desert Prestige Edition,1,2020-12-02,2020,12,2
Attack on Titan 2,1,2018-03-14,2018,3,14
Children of Morta,1,2019-10-15,2019,10,15
Ruined King: A League of Legends Story,1,2021-11-16,2021,11,16
Fallout 76: Steel Dawn,1,2020-11-24,2020,11,24
CAT Interstellar,0,2015-08-28,2015,8,28
Tom Clancy's Rainbow Six Siege: Advanced Edition,1,2018-02-13,2018,2,13
THE KING OF FIGHTERS™ COLLECTION: THE OROCHI SAGA,0,2008-12-08,2008,12,8
Los Sims™ 4 Vida Isleña,1,2014-09-02,2014,9,2
Azure Striker GUNVOLT: STRIKER PACK,0,2020-04-22,2020,4,22
Dead Secret,0,2018-04-24,2018,4,24
IKARUGA,0,2008-04-09,2008,4,9
Killing Floor: Incursion ,0,2018-05-01,2018,5,1
Pierhead Arcade,0,2016-09-21,2016,9,21
Anima: Gate of Memories -The Nameless Chronicles,1,2018-06-19,2018,6,19
Attack of the Earthlings,1,2019-03-05,2019,3,5
My Universe : School teacher,1,2020-11-03,2020,11,3
The Outer Worlds,1,2019-10-25,2019,10,25
Life is Strange 2 Complete Season,1,2018-09-26,2018,9,26
Bubsy: Paws On Fire!,0,2019-05-16,2019,5,16
Castlevania Requiem: Symphony of the Night & Rondo of Blood,0,2018-10-26,2018,10,26
Ruiner,0,2017-09-26,2017,9,26
MLB The Show 18,0,2018-03-27,2018,3,27
My Universe - Pet Clinic Cats and Dogs,0,2021-02-09,2021,2,9
Minecraft: Story Mode - Season Two - Episode 4: Below the Bedrock,1,2017-11-07,2017,11,7
Wallachia: Reign of Dracula,0,2021-10-02,2021,10,2
Floor Plan,0,2018-03-20,2018,3,20
Wailing Heights,1,2018-08-15,2018,8,15
Wattam,0,2019-12-17,2019,12,17
ESPER,0,2018-06-29,2018,6,29
FIVE NIGHTS AT FREDDY'S: HELP WANTED,0,2020-10-30,2020,10,30
RICK AND MORTY: VIRTUAL RICK-ALITY ,0,2017-04-20,2017,4,20
Just Dance 2020,1,2019-11-05,2019,11,5
Space Invaders Forever,0,2020-12-01,2020,12,1
Steep: Winter Games Edition,1,2017-12-05,2017,12,5
Rocket Arena,1,2020-07-14,2020,7,14
Knights and Bikes,0,2020-11-05,2020,11,5
Override: Mech City Brawl,1,2018-12-04,2018,12,4
Crypt of the NecroDancer,1,2017-02-10,2017,2,10
ACA NEOGEO Gururin,1,2018-04-12,2018,4,12
Pool Nation,0,2019-07-09,2019,7,9
PixARK,1,2019-05-31,2019,5,31
Yakuza 5,0,2015-12-08,2015,12,8
LIGHTFIELD,1,2017-09-25,2017,9,25
A Plague Tale : Innocence,1,2019-05-14,2019,5,14
Chicken Assassin: Reloaded,0,2018-07-17,2018,7,17
Hob,0,2017-09-26,2017,9,26
Revenant Dogma,0,2018-09-12,2018,9,12
The Sims™ 4 Star Wars™: Journey to Batuu,1,2020-09-08,2020,9,8
Inertial Drift,0,2020-09-30,2020,9,30
The Last of Us Part II,0,2020-06-19,2020,6,19
Dragon Sinker,0,2020-01-08,2020,1,8
Crayola Scoot,1,2018-10-23,2018,10,23
The Lord of the Rings Living Card Game,0,2019-04-30,2019,4,30
League of Evil,0,2018-09-19,2018,9,19
Marvel's Spider-Man: Game of the Year Edition,0,2019-08-28,2019,8,28
Island Time,0,2021-04-07,2021,4,7
Red Dead Redemption 2,1,2018-10-26,2018,10,26
Pig Eat Ball,0,2019-10-18,2019,10,18
CONTRA ROGUE CORPS,1,2019-09-24,2019,9,24
The Walking Dead: Saints & Sinners - Complete Edition,0,2020-01-23,2020,1,23
Mages of Mystralia,0,2017-08-22,2017,8,22
Alone With You,0,2016-08-23,2016,8,23
8 To Glory,1,2018-07-31,2018,7,31
Tokyo Xanadu eX+,0,2017-12-08,2017,12,8
FINAL FANTASY XV ROYAL EDITION,1,2018-03-06,2018,3,6
Firefighters: Plant Fire Department,0,2017-11-30,2017,11,30
Ghost of a Tale,1,2018-03-13,2018,3,13
Achtung! Cthulhu Tactics,1,2018-11-21,2018,11,21
Warhammer: Chaosbane,1,2019-05-31,2019,5,31
MY HERO ONE'S JUSTICE 2,1,2020-04-17,2020,4,17
ONRUSH,1,2018-06-05,2018,6,5
Fishing Sim World: Pro Tour Collector's Edition,1,2020-04-14,2020,4,14
Windjammers,0,2017-08-29,2017,8,29
ACA NEOGEO METAL SLUG X,1,2017-10-05,2017,10,5
Utawarerumono: ZAN,0,2019-09-10,2019,9,10
Destiny 2: New Light,1,2017-09-06,2017,9,6
Star Wars Jedi Knight: Jedi Academy,0,2020-03-26,2020,3,26
The Sims™ 4 Kids Room Stuff,1,2018-06-19,2018,6,19
Outer Wilds,0,2019-10-15,2019,10,15
FATAL FURY™ BATTLE ARCHIVES VOL.2,0,2017-03-27,2017,3,27
Raging Loop,0,2019-10-22,2019,10,22
ACA NEOGEO THE KING OF FIGHTERS '99,1,2018-04-05,2018,4,5
Death's Gambit,0,2020-02-12,2020,2,12
The Legend of Heroes: Trails of Cold Steel III,0,2019-10-29,2019,10,29
Space Hulk: Deathwing - Enhanced Edition,1,2018-05-22,2018,5,22
Damascus Gear: Operation Osaka ,0,2018-03-06,2018,3,6
Real Heroes: Firefighter,0,2020-02-25,2020,2,25
THE MIDNIGHT SANCTUARY,0,2018-10-04,2018,10,4
Arcade Archives ARGUS,0,2018-08-30,2018,8,30
Hand of the Gods: SMITE Tactics,1,2018-02-20,2018,2,20
Hungry Shark World,1,2018-07-17,2018,7,17
The Catch: Carp & Coarse,1,2020-06-30,2020,6,30
Haimrik,1,2018-06-06,2018,6,6
Immortal Realms: Vampire Wars,1,2020-08-28,2020,8,28
Race with Ryan,1,2019-11-01,2019,11,1
Shenmue I & II,1,2018-11-22,2018,11,22
Disney Classic Games: Aladdin and The Lion King,1,2019-10-25,2019,10,25
Mafia: Definitive Edition,1,2020-09-24,2020,9,24
Banner Saga 3,1,2018-07-26,2018,7,26
Super Mega Baseball 2,1,2018-05-01,2018,5,1
Rogue Trooper Redux,1,2017-10-17,2017,10,17
Beat Saber,0,2018-05-01,2018,5,1
Blightbound,1,2021-07-27,2021,7,27
LEGO Marvel Super Heroes 2,1,2017-11-14,2017,11,14
Shadows of Adam,0,2021-06-15,2021,6,15
AeternoBlade II,0,2019-10-11,2019,10,11
The Sims™ 4 Nifty Knitting,1,2020-07-28,2020,7,28
Siralim,0,2015-04-24,2015,4,24
ADK DAMASHII,0,2017-03-01,2017,3,1
Ticket to Ride,0,2008-06-25,2008,6,25
Madden NFL 20,1,2019-08-02,2019,8,2
Speed 3: Grand Prix,0,2020-11-06,2020,11,6
Dungeon Rushers,1,2018-05-25,2018,5,25
Assassin's Creed Odyssey ,1,2020-11-12,2020,11,12
Wordhunters,0,2018-11-14,2018,11,14
PAW Patrol: On A Roll!,1,2018-10-23,2018,10,23
Monster Energy Supercross - The Official Videogame,1,2018-02-13,2018,2,13
13 Sentinels: Aegis Rim,0,2020-09-08,2020,9,8
FINAL FANTASY XV POCKET EDITION HD,1,2018-09-06,2018,9,6
TOKYO GHOUL:re CALL to EXIST,0,2019-11-15,2019,11,15
Rain World ,0,2017-03-28,2017,3,28
Project Nimbus: CODE MIRAI,0,2018-05-14,2018,5,14
Sigi - A Fart for Melusina,0,2018-09-07,2018,9,7
Yakuza 4,0,2010-03-18,2010,3,18
Castlevania Anniversary Collection,1,2019-05-16,2019,5,16
Immortal: Unchained,1,2018-09-07,2018,9,7
Defenders of Ekron - Definitive Edition,1,2018-08-07,2018,8,7
Pro Fishing Simulator,1,2018-11-29,2018,11,29
DOOM VFR,0,2017-12-01,2017,12,1
Shift Quantum,1,2018-05-30,2018,5,30
Burly Men at Sea,0,2017-09-19,2017,9,19
Chicken Range,0,2018-06-29,2018,6,29
VRog,0,2017-09-26,2017,9,26
Bastion,0,2011-07-20,2011,7,20
Just Deal With It!,0,2018-11-13,2018,11,13
36 Fragments of Midnight,0,2017-12-19,2017,12,19
Dungreed,0,2020-10-27,2020,10,27
DEAD OR ALIVE 6: Core Fighters,1,2019-03-01,2019,3,1
ACA NEOGEO THE LAST BLADE 2,1,2018-02-15,2018,2,15
Biped,1,2020-09-18,2020,9,18
ACA NEOGEO PREHISTORIC ISLE 2,1,2018-08-02,2018,8,2
Armello,1,2016-08-30,2016,8,30
The Council - Episode 3 - Ripples ,0,2018-07-26,2018,7,26
Life is Strange: Before the Storm Episode 1,1,2017-08-31,2017,8,31
ACA NEOGEO METAL SLUG 3,1,2017-12-21,2017,12,21
Knockout League,0,2018-03-08,2018,3,8
Minefield,0,2018-03-21,2018,3,21
The Sims™ 4 Toddler Stuff,1,2018-05-22,2018,5,22
Call of Duty®: Modern Warfare 2 Campaign Remastered,1,2020-03-31,2020,3,31
Ys: Memories of Celceta,0,2012-09-27,2012,9,27
DCL - The Game,1,2020-02-19,2020,2,19
Owlboy,1,2018-04-10,2018,4,10
VRobot,0,2017-04-20,2017,4,20
Hero Defense,1,2018-08-16,2018,8,16
Flight of Light,0,2017-08-03,2017,8,3
FINAL FANTASY IX,0,2019-02-13,2019,2,13
GRID,1,2019-10-11,2019,10,11
8-bit Adventure Anthology: Volume I,0,2017-10-31,2017,10,31
METAL SLUG XX,0,2018-05-29,2018,5,29
Citadel: Forged with Fire,1,2019-11-01,2019,11,1
Call of Duty: Warzone,1,2020-03-10,2020,3,10
My Baby,1,2016-01-26,2016,1,26
DOOM 64,1,2020-03-20,2020,3,20
JUMP FORCE,1,2019-02-15,2019,2,15
Light Tracer,0,2017-09-26,2017,9,26
Epic Dumpster Bear,0,2020-06-09,2020,6,9
Let's Create! Pottery VR,0,2020-06-12,2020,6,12
Destiny: The Taken King,1,2015-09-15,2015,9,15
"Haunted Dungeons ""Hyakki Castle""",0,2018-08-30,2018,8,30
LEGO The Incredibles,1,2018-07-13,2018,7,13
Gunvolt Chronicles: Luminous Avenger iX,0,2019-09-26,2019,9,26
God of War,0,2018-04-20,2018,4,20
Hand of Fate 2,0,2018-12-01,2018,12,1
Assassin's Creed Origins ,1,2017-10-27,2017,10,27
Maize,1,2017-09-12,2017,9,12
Assassin's Creed Rogue Remastered,0,2018-03-20,2018,3,20
Just Dance 2019,1,2018-10-25,2018,10,25
Invector,0,2019-12-10,2019,12,10
CODE VEIN,1,2020-02-26,2020,2,26
Untitled Goose Game,0,2019-12-17,2019,12,17
DJMAX RESPECT,0,2018-03-06,2018,3,6
Black Mirror,1,2017-11-28,2017,11,28
NBA 2K20,1,2019-09-06,2019,9,6
Far Cry 3 Classic Edition,1,2018-06-26,2018,6,26
Trollhunters Defenders of Arcadia,1,2020-09-25,2020,9,25
Skelattack,1,2020-06-02,2020,6,2
Jolt Family Robot Racer,0,2018-03-06,2018,3,6
TRANSFORMERS:BATTLEGROUNDS,1,2020-10-23,2020,10,23
Super Pixel Racers ,0,2018-10-31,2018,10,31
ACA NEOGEO SAMURAI SHODOWN V,1,2018-07-05,2018,7,5
Blasphemous,1,2019-09-10,2019,9,10
Pirate Flight (VR),0,2018-04-30,2018,4,30
Earthfall,1,2018-07-13,2018,7,13
White Noise 2,1,2017-09-01,2017,9,1
GRIS,0,2019-11-26,2019,11,26
Dead Land,0,2018-04-03,2018,4,3
The Council,1,2018-03-13,2018,3,13
CLANNAD,0,2015-11-23,2015,11,23
Ben 10,1,2012-11-30,2012,11,30
Arcade Archives HEROIC EPISODE,0,2019-02-26,2019,2,26
Subaeria,1,2018-04-24,2018,4,24
The Legend of Heroes: Trails of Cold Steel ,0,2019-03-26,2019,3,26
Knights of Valour,0,2017-11-16,2017,11,16
TINY METAL,0,2017-12-21,2017,12,21
Rage Room,0,2017-12-25,2017,12,25
Under Night In-Birth Exe:Late[st] ,0,2018-02-09,2018,2,9
Vegas Party,1,2018-09-28,2018,9,28
Secret of Mana,0,2018-02-15,2018,2,15
The End is Nigh,0,2019-04-29,2019,4,29
Forgotton Anne,0,2018-05-15,2018,5,15
Train Sim World®2,1,2017-03-16,2017,3,16
Treadnauts,1,2018-08-17,2018,8,17
Seek Hearts,0,2019-12-03,2019,12,3
Slayaway Camp,1,2017-10-23,2017,10,23
"WARHAMMER 40,000 : DEATHWATCH",0,2015-10-16,2015,10,16
Another World - 20th Anniversary Edition,0,2014-07-08,2014,7,8
SuperEpic: The Entertainment War,0,2019-12-12,2019,12,12
Damascus Gear Operation Osaka HD Edition,0,2018-03-06,2018,3,6
Pillars of Eternity II: Deadfire,1,2020-01-28,2020,1,28
Spyro™ Reignited Trilogy,1,2018-11-13,2018,11,13
Inception VR,0,2017-02-23,2017,2,23
Ghostbusters: The Video Game Remastered,1,2019-10-04,2019,10,4
The Pathless,0,2020-11-12,2020,11,12
Bulb Boy,1,2017-10-06,2017,10,6
Indivisible,1,2019-10-07,2019,10,7
NHL 19,1,2018-09-14,2018,9,14
Is It Wrong to Try to Pick Up Girls in a Dungeon? Familia Myth Infinite Combate,0,2020-08-11,2020,8,11
VR Karts,0,2015-04-17,2015,4,17
The Rabbit Hole,0,2016-10-11,2016,10,11
We Sing Pop,1,2017-10-24,2017,10,24
Blasters of the Universe,0,2018-02-27,2018,2,27
Apex Legends - Pathfinder Edition,1,2020-05-26,2020,5,26
GAL*GUNVOLT BURST,0,2018-04-13,2018,4,13
The Metronomicon: Slay the Dance Floor,1,2017-08-30,2017,8,30
Abo Khashem,0,2018-02-23,2018,2,23
Space Junkies ,0,2019-03-26,2019,3,26
VR Ping Pong Pro,0,2019-11-12,2019,11,12
South Park: The Stick of Truth,1,2018-02-13,2018,2,13
Bibi & Tina at the Horse Farm,0,2019-10-10,2019,10,10
Guacamelee! 2,0,2019-01-18,2019,1,18
Fishing Master,0,2007-09-18,2007,9,18
Planet Alpha,1,2018-09-04,2018,9,4
Home Sweet Home,0,2007-11-22,2007,11,22
Steel Rats,0,2018-11-07,2018,11,7
Baldur's Gate: Enhanced Edition / Baldur's Gate II: Enhanced Edition,1,2019-10-15,2019,10,15
L.A. Noire,1,2011-07-07,2011,7,7
Immortals Fenyx Rising,1,2020-12-03,2020,12,3
Lumines Remastered,0,2018-06-26,2018,6,26
DEADBOLT,0,2016-03-13,2016,3,13
Utawarerumono: Prelude to the Fallen,0,2020-05-29,2020,5,29
Dynasty Warriors 9 Special Scenario Edition,1,2018-02-08,2018,2,8
The Inpatient,0,2017-11-21,2017,11,21
Last Day of June,0,2017-08-31,2017,8,31
No Heroes Here,0,2018-05-29,2018,5,29
The Council - Episode 4 - Burning Bridges,1,2018-09-25,2018,9,25
Mega Man X Legacy Collection 2,1,2018-07-24,2018,7,24
Decay of Logos,1,2019-08-30,2019,8,30
Old Man's Journey,0,2019-03-04,2019,3,4
Next Up Hero,1,2018-01-11,2018,1,11
Seven: The Days Long Gone,0,2017-11-30,2017,11,30
World of Warriors,0,2014-11-04,2014,11,4
The Journey Down: Chapter One,1,2012-05-18,2012,5,18
Daymare: 1998 Black Edition,0,2019-09-16,2019,9,16
Overwatch Legendary Edition,1,2019-06-20,2019,6,20
Borderlands 2 VR,0,2018-12-14,2018,12,14
fault - milestone one,0,2020-05-22,2020,5,22
Graveyard Keeper,1,2019-06-27,2019,6,27
ACA NEOGEO REAL BOUT FATAL FURY 2,1,2018-03-08,2018,3,8
Rock Boshers DX: Director's Cut,0,2014-12-09,2014,12,9
Cryptract,0,2018-09-25,2018,9,25
Train Sim World,1,2018-07-24,2018,7,24
A Hole New World,0,2017-09-05,2017,9,5
Monkey King Hero is Back,0,2019-10-17,2019,10,17
Aaero,1,2017-04-11,2017,4,11
The Inner World - The Last Wind Monk,1,2017-10-24,2017,10,24
Animal Force,0,2018-07-10,2018,7,10
L.A. Noire: The VR Case Files,0,2017-12-15,2017,12,15
Little Adventure on the Prairie,0,2018-02-21,2018,2,21
Screencheat,0,2016-03-01,2016,3,1
The Sims™ 4 Parenthood,1,2018-06-19,2018,6,19
The Sims™ 4 Spa Day,1,2019-04-18,2019,4,18
RAD,1,2019-08-20,2019,8,20
INSIDE,0,2016-06-28,2016,6,28
Smoke and Sacrifice,1,2019-01-15,2019,1,15
